collected_at_utc,collected_at_germany,system_name,domain,city_uid,city_name,place_uid,place_number,name,address,lat,lng,is_station,is_floating_bike,active_place,maintenance,terminal_type,place_type,booked_bikes,bikes,bikes_available_to_rent,bike_racks,free_racks,special_racks,free_special_racks,bike_types_json,bike_count_from_list
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473035,42642,Budenheimer Volksbank,"Luisenstr, Budenheim",50.022925,8.170055,True,False,1,False,,14,0,6,6,6,0,0,0,"{""188"": 2, ""191"": 4}",6
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473036,42612,Friedrich-Ebert-Platz,"Ringstraße, Ginsheim",49.96705,8.344268,True,False,1,False,,14,0,8,8,10,2,0,0,"{""188"": 4, ""191"": 3, ""348"": 1}",8
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473037,42643,Altrhein / Fähre,Dammstr. Ginsheim,49.963326,8.343593,True,False,1,False,,19,0,5,5,10,5,0,0,"{""188"": 2, ""191"": 2, ""295"": 1}",5
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473038,42613,Ballou-Platz,Platz Kreuzung Anne-Frank-Str./Bouguenais-Allee Ginsheim,49.974846,8.337927,True,False,1,False,,14,0,9,9,9,0,0,0,"{""295"": 1, ""348"": 8}",9
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473039,42644,TIGZ,Ginsheimer Str. im Gustavsburger Gewerbegebiet,49.992955,8.319763,True,False,1,False,,19,0,2,2,6,4,0,0,"{""188"": 1, ""191"": 1}",2
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473040,42614,Friedhof Gustavsburg,Mierendorfstr. Gustavsburg,49.996472,8.334139,True,False,1,False,,19,0,2,2,8,6,0,0,"{""295"": 1, ""348"": 1}",2
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473041,42645,Fritz-Bauer-Platz,"Beethovenstraße, Gustavsburg",49.997065,8.323349,True,False,1,False,,19,0,5,5,8,3,0,0,"{""188"": 5}",5
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473042,42615,Gustavsburg Bahnhof,Dr. Hermann Str. Gustavsburg,49.994555,8.314148,True,False,1,False,,14,0,7,7,24,17,0,0,"{""188"": 2, ""191"": 3, ""295"": 1, ""348"": 1}",7
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473043,42646,In der Nachtweid,Ginsheim: Ginsheimer Str./Leipziger Str. Kreuzung,49.971611,8.345444,True,False,1,False,,19,0,2,2,9,7,0,0,"{""191"": 2}",2
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74473044,42616,Adam-Opel-Straße,"Adam-Opel-Str, neben Bushaltestelle",49.988083,8.324806,True,False,1,False,,19,0,5,5,9,4,0,0,"{""188"": 3, ""295"": 2}",5
